title,symbols,direction,strength,source,would_trade,notes
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-19],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-19],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-20],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-20],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-21],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-21],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-22],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-22],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-23],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-23],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-24],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-24],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-25],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-25],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-26],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-26],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-27],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-27],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-28],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-28],ETHUSDT;BTCUSDT,long,1,rule,,
Bitcoin rally accelerates as Fed and CPI data support ETF approval inflow surge [seed-29],BTCUSDT,long,1,rule,,
Ethereum surges on ETF inflow rally as FOMC holds and traders pile in [seed-29],ETHUSDT;BTCUSDT,long,1,rule,,
